date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:36	1434/1434	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/services/horse-2.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/services/horse-29078.svg	(from http://www.minotech.co.uk/services/)
11:22:36	12250/12250	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:34%20GMT	http://www.minotech.co.uk/services/?filter=Business%20Growth	/home/keith/websites/Minotech/www.minotech.co.uk/services/index878a.html	(from http://www.minotech.co.uk/services/)
11:22:37	1795/1795	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/services/mot-strategy.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/services/mot-strategy9078.svg	(from http://www.minotech.co.uk/services/)
11:22:37	13689/13689	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:35%20GMT	http://www.minotech.co.uk/services/custom-development/	/home/keith/websites/Minotech/www.minotech.co.uk/services/custom-development/index.html	(from http://www.minotech.co.uk/services/)
11:22:38	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	/home/keith/websites/Minotech/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from http://www.minotech.co.uk/)
11:22:38	5847/5847	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/services/mot-train.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/services/mot-train9078.svg	(from http://www.minotech.co.uk/services/)
11:22:39	12156/12156	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:37%20GMT	http://www.minotech.co.uk/services/propellant/	/home/keith/websites/Minotech/www.minotech.co.uk/services/propellant/index.html	(from http://www.minotech.co.uk/services/)
11:22:39	12502/12502	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:37%20GMT	http://www.minotech.co.uk/services/pit-stop/	/home/keith/websites/Minotech/www.minotech.co.uk/services/pit-stop/index.html	(from http://www.minotech.co.uk/services/)
11:22:39	3773/3773	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/services/mot-mentor.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/services/mot-mentor9078.svg	(from http://www.minotech.co.uk/services/)
11:22:40	3224/3224	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/services/mot-concept.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/services/mot-concept9078.svg	(from http://www.minotech.co.uk/services/)
11:22:40	15862/15862	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:38%20GMT	http://www.minotech.co.uk/services/accelerator/	/home/keith/websites/Minotech/www.minotech.co.uk/services/accelerator/index.html	(from http://www.minotech.co.uk/services/)
11:22:41	1487/1487	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/services/mot-platform.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/services/mot-platform9078.svg	(from http://www.minotech.co.uk/services/)
11:22:41	14610/14610	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:39%20GMT	http://www.minotech.co.uk/services/horsepower/	/home/keith/websites/Minotech/www.minotech.co.uk/services/horsepower/index.html	(from http://www.minotech.co.uk/services/)
11:22:42	13027/13027	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:40%20GMT	http://www.minotech.co.uk/services/training/	/home/keith/websites/Minotech/www.minotech.co.uk/services/training/index.html	(from http://www.minotech.co.uk/services/)
11:22:42	14500/14500	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:40%20GMT	http://www.minotech.co.uk/services/mentoring/	/home/keith/websites/Minotech/www.minotech.co.uk/services/mentoring/index.html	(from http://www.minotech.co.uk/services/)
11:22:42	14284/14284	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:40%20GMT	http://www.minotech.co.uk/services/mot/	/home/keith/websites/Minotech/www.minotech.co.uk/services/mot/index.html	(from http://www.minotech.co.uk/services/)
11:22:43	66545/66545	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jan%202021%2011:22:27%20GMT	http://www.minotech.co.uk/media/1002/matrix-glasses-wide.jpg	/home/keith/websites/Minotech/www.minotech.co.uk/media/1002/matrix-glasses-wide.jpg	(from http://www.minotech.co.uk/why-mot/)
11:22:43	3659/3659	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jan%202021%2011:22:42%20GMT	http://www.minotech.co.uk/media/1007/keith-jackson-2_thumb.jpg	/home/keith/websites/Minotech/www.minotech.co.uk/media/1007/keith-jackson-2_thumb.jpg	(from http://www.minotech.co.uk/network/)
11:22:43	7590/7590	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:42%20GMT	http://www.minotech.co.uk/services/pre-flight-check/	/home/keith/websites/Minotech/www.minotech.co.uk/services/pre-flight-check/index.html	(from http://www.minotech.co.uk/services/)
11:22:43	5106/5106	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jan%202021%2011:22:42%20GMT	http://www.minotech.co.uk/media/1008/jen_full_thumb.jpg	/home/keith/websites/Minotech/www.minotech.co.uk/media/1008/jen_full_thumb.jpg	(from http://www.minotech.co.uk/network/)
11:22:43	6619/6619	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:42%20GMT	http://www.minotech.co.uk/network/jen-jackson/	/home/keith/websites/Minotech/www.minotech.co.uk/network/jen-jackson/index.html	(from http://www.minotech.co.uk/network/)
11:22:44	33128/33128	---M-Z	200	added ('OK')	text/css	etag:%220479f2aafd6d51:0%22	http://www.minotech.co.uk/css/development-style.min.css?v=7.1.0.25813	/home/keith/websites/Minotech/www.minotech.co.uk/css/development-style.min91af.css	(from http://www.minotech.co.uk/development/)
11:22:45	607/607	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/development/background.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/development/background9078.svg	(from http://www.minotech.co.uk/development/)
11:22:46	4266/4266	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/development/logo-text.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/development/logo-text9078.svg	(from http://www.minotech.co.uk/development/)
11:22:47	841/841	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/development/logo-icon.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/development/logo-icon9078.svg	(from http://www.minotech.co.uk/development/)
